fips,state,year,sex,sex_cat,age,age_cat,hf_ageadjusted,hf_count,hf_rate,hf_ll,hf_ul,hf_attrib,stroke_ageadjusted,stroke_count,stroke_rate,stroke_ll,stroke_ul,mi_ageadjusted,mi_count,mi_rate,mi_ll,mi_ul,mi_attrib,lea_ageadjusted,lea_count,lea_rate,lea_ll,lea_ul,lea_attrib,hypogl_ageadjusted,hypogl_count,hypogl_rate,hypogl_ll,hypogl_ul,hhns_ageadjusted,hhns_count,hhns_rate,hhns_ll,hhns_ul,dka_ageadjusted,dka_count,dka_rate,dka_ll,dka_ul
51,VIRGINIA,2014,0,Overall,4,75+,,4357,51.21919794,42.02519414801559,60.41320172435319,1400,,2482,29.17742696,23.93998895,34.41486497,,1666,19.58484824,16.06930765,23.10038882,390,,569,6.688942764674987,5.488256936,7.889628593,420,,573,6.735965209,5.526838707,7.945091712,,,,,,,,,,
51,VIRGINIA,2014,0,Overall,6,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,0.945382999,0.833866509,1.056899489,,390,1.660807971,1.464900624,1.856715318
51,VIRGINIA,2014,1,Males,0,18+,11.3,5375,17.25645252,15.06998464029272,19.44292039821112,2300,7.5,3622,11.62844112,10.15506686,13.10181538,7.3,3377,10.84186794,9.468155931,12.21557994,580,5.4,2020,6.485215644444442,5.663510507,7.306920782,1720,2.2,735,2.359719554,2.060732783,2.658706324,2,423,1.358042682,1.185972745,1.530112619,16.3,2043,6.559057209,5.727996022,7.390118395
51,VIRGINIA,2014,1,Males,1,18-44,,158,3.669551415,2.024609300177863,5.314493529309019,70,,106,2.461850949,1.358282189,3.56541971,,132,3.065701182,1.691445744,4.439956619,20,,169,3.925026513238237,2.165563112,5.684489914,160,,87,2.020575779,1.114816513,2.926335045,,118,2.740551057,1.512049984,3.969052129,,1195,27.7538857,15.31270958,40.19506182
51,VIRGINIA,2014,1,Males,2,45-64,,1665,10.71904599,8.821938893860763,12.61615307882644,870,,1259,8.105272611,6.670763404,9.539781818,,1385,8.916443658,7.33836959,10.49451773,170,,1022,6.579498497323221,5.415027958,7.743969037,910,,214,1.377703208,1.133870825,1.621535591,,198,1.274697361,1.049095436,1.500299285,,709,4.564446609,3.756609415,5.372283804
51,VIRGINIA,2014,1,Males,3,65-74,,1612,21.31993987,16.23857626310014,26.40130348435941,780,,1103,14.58802338,11.111135,18.06491175,,1002,13.25222069,10.09370559,16.41073579,190,,491,6.493852653846971,4.946117212,8.041588096,400,,182,2.407089986,1.833387643,2.980792329,,,,,,,,,,
51,VIRGINIA,2014,1,Males,4,75+,,1940,51.76135232,37.00463771912894,66.51806692382615,570,,1154,30.7900003,22.01203708,39.56796352,,858,22.8923919,16.36596864,29.41881517,200,,338,9.01821499209248,6.447199768,11.58923022,250,,252,6.72363958,4.806787992,8.640491167,,,,,,,,,,
51,VIRGINIA,2014,1,Males,6,65+,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,107,0.946151844,0.771087336,1.121216352,,139,1.229113144,1.001692895,1.456533392
51,VIRGINIA,2014,2,Females,0,18+,9.8,5288,16.44408151,14.69375749983671,18.19440552899557,2570,6.5,3462,10.76577349,9.619854097,11.91169288,4.9,2480,7.712050332,6.891172201,8.532928463,990,2.4,981,3.050613457950498,2.725903197,3.375323719,820,2.1,838,2.605926685,2.328549316,2.883304053,1.3,345,1.072845712,0.958650972,1.187040451,15.9,2217,6.894199833,6.160374504,7.628025162
51,VIRGINIA,2014,2,Females,1,18-44,,123,2.568551815,1.671658730723722,3.465444899419803,90,,88,1.837663087,1.195983482,2.479342692,,87,1.816780552,1.182392761,2.451168343,60,,75,1.566190131141319,1.019304104,2.113076158,70,,74,1.545307596,1.005713383,2.084901809,,70,1.461777456,0.951350497,1.972204414,,1283,26.79229251,17.43689554,36.14768948
